ATTENDANCE_ID,ATTENDANCE_MONTH,ATTENDANCE_DAY,REWARD_TYPE,REWARD_ID,REWARD_NUM
230409,4,9,2,5102,1
230410,4,10,2,5201,3
230411,4,11,1,0,10
230412,4,12,2,5104,1
230413,4,13,2,5105,1
230414,4,14,2,5107,10
230415,4,15,1,0,10
230416,4,16,2,5104,1
230417,4,17,2,5105,1
230418,4,18,1,0,10
230419,4,19,2,5106,1
230420,4,20,2,5201,5
230421,4,21,2,5103,2
230422,4,22,1,0,10
230423,4,23,2,5102,1
230424,4,24,2,5201,5
230425,4,25,1,0,10
230426,4,26,2,5106,1
230427,4,27,2,5104,1
230428,4,28,2,5107,30
230501,5,1,1,0,10
230502,5,2,2,5102,1
230503,5,3,2,5201,3
230504,5,4,1,0,10
230505,5,5,2,5104,1
230506,5,6,2,5105,1
230507,5,7,2,5103,1
230508,5,8,1,0,10
230509,5,9,2,5102,1
230510,5,10,2,5201,3
230511,5,11,1,0,10
230512,5,12,2,5104,1
230513,5,13,2,5105,1
230514,5,14,2,5107,10
230515,5,15,1,0,10
230516,5,16,2,5104,1
230517,5,17,2,5105,1
230518,5,18,1,0,10
230519,5,19,2,5106,1
230520,5,20,2,5201,5
230521,5,21,2,5103,2
230522,5,22,1,0,10
230523,5,23,2,5102,1
230524,5,24,2,5201,5
230525,5,25,1,0,10
230526,5,26,2,5106,1
230527,5,27,2,5104,1
230528,5,28,2,5107,30
230601,6,1,1,0,10
230602,6,2,2,5102,1
230603,6,3,2,5201,3
230604,6,4,1,0,10
230605,6,5,2,5104,1
230606,6,6,2,5105,1
230607,6,7,2,5103,1
230608,6,8,1,0,10
230609,6,9,2,5102,1
230610,6,10,2,5201,3
230611,6,11,1,0,10
230612,6,12,2,5104,1
230613,6,13,2,5105,1
230614,6,14,2,5107,10
230615,6,15,1,0,10
230616,6,16,2,5104,1
230617,6,17,2,5105,1
230618,6,18,1,0,10
230619,6,19,2,5106,1
230620,6,20,2,5201,5
230621,6,21,2,5103,2
230622,6,22,1,0,10
230623,6,23,2,5102,1
230624,6,24,2,5201,5
230625,6,25,1,0,10
230626,6,26,2,5106,1
230627,6,27,2,5104,1
230628,6,28,2,5107,30
230701,7,1,1,0,10
230702,7,2,2,5102,1
230703,7,3,2,5201,3
230704,7,4,1,0,10
230705,7,5,2,5104,1
230706,7,6,2,5105,1
230707,7,7,2,5103,1
230708,7,8,1,0,10
230709,7,9,2,5102,1
230710,7,10,2,5201,3
230711,7,11,1,0,10
230712,7,12,2,5104,1
230713,7,13,2,5105,1
230714,7,14,2,5107,10
230715,7,15,1,0,10
230716,7,16,2,5104,1
230717,7,17,2,5105,1
230718,7,18,1,0,10
230719,7,19,2,5106,1
230720,7,20,2,5201,5
230721,7,21,2,5103,2
230722,7,22,1,0,10
230723,7,23,2,5102,1
230724,7,24,2,5201,5
230725,7,25,1,0,10
230726,7,26,2,5106,1
230727,7,27,2,5104,1
230728,7,28,2,5107,30
230801,8,1,1,0,10
230802,8,2,2,5102,1
230803,8,3,2,5201,3
230804,8,4,1,0,10
230805,8,5,2,5104,1
230806,8,6,2,5105,1
230807,8,7,2,5103,1
230808,8,8,1,0,10
230809,8,9,2,5102,1
230810,8,10,2,5201,3
230811,8,11,1,0,10
230812,8,12,2,5104,1
230813,8,13,2,5105,1
230814,8,14,2,5107,10
230815,8,15,1,0,10
230816,8,16,2,5104,1
230817,8,17,2,5105,1
230818,8,18,1,0,10
230819,8,19,2,5106,1
230820,8,20,2,5201,5
230821,8,21,2,5103,2
230822,8,22,1,0,10
230823,8,23,2,5102,1
230824,8,24,2,5201,5
230825,8,25,1,0,10
230826,8,26,2,5106,1
230827,8,27,2,5104,1
230828,8,28,2,5107,30
230901,9,1,1,0,10
230902,9,2,2,5102,1
230903,9,3,2,5201,3
230904,9,4,1,0,10
230905,9,5,2,5104,1
230906,9,6,2,5105,1
230907,9,7,2,5103,1
230908,9,8,1,0,10
230909,9,9,2,5102,1
230910,9,10,2,5201,3
230911,9,11,1,0,10
230912,9,12,2,5104,1
230913,9,13,2,5105,1
230914,9,14,2,5107,10
230915,9,15,1,0,10
230916,9,16,2,5104,1
230917,9,17,2,5105,1
230918,9,18,1,0,10
230919,9,19,2,5106,1
230920,9,20,2,5201,5
230921,9,21,2,5103,2
230922,9,22,1,0,10
230923,9,23,2,5102,1
230924,9,24,2,5201,5
230925,9,25,1,0,10
230926,9,26,2,5106,1
230927,9,27,2,5104,1
230928,9,28,2,5107,30
231001,10,1,1,0,10
231002,10,2,2,5102,1
231003,10,3,2,5201,3
231004,10,4,1,0,10
231005,10,5,2,5104,1
231006,10,6,2,5105,1
231007,10,7,2,5103,1
231008,10,8,1,0,10
231009,10,9,2,5102,1
231010,10,10,2,5201,3
231011,10,11,1,0,10
231012,10,12,2,5104,1
231013,10,13,2,5105,1
231014,10,14,2,5107,10
231015,10,15,1,0,10
231016,10,16,2,5104,1
231017,10,17,2,5105,1
231018,10,18,1,0,10
231019,10,19,2,5106,1
231020,10,20,2,5201,5
231021,10,21,2,5103,2
231022,10,22,1,0,10
231023,10,23,2,5102,1
231024,10,24,2,5201,5
231025,10,25,1,0,10
231026,10,26,2,5106,1
231027,10,27,2,5104,1
231028,10,28,2,5107,30
231101,11,1,1,0,10
231102,11,2,2,5102,1
231103,11,3,2,5201,3
231104,11,4,1,0,10
231105,11,5,2,5104,1
231106,11,6,2,5105,1
231107,11,7,2,5103,1
231108,11,8,1,0,10
231109,11,9,2,5102,1
231110,11,10,2,5201,3
231111,11,11,1,0,10
231112,11,12,2,5104,1
231113,11,13,2,5105,1
231114,11,14,2,5107,10
231115,11,15,1,0,10
231116,11,16,2,5104,1
231117,11,17,2,5105,1
231118,11,18,1,0,10
231119,11,19,2,5106,1
231120,11,20,2,5201,5
231121,11,21,2,5103,2
231122,11,22,1,0,10
231123,11,23,2,5102,1
231124,11,24,2,5201,5
231125,11,25,1,0,10
231126,11,26,2,5106,1
231127,11,27,2,5104,1
231128,11,28,2,5107,30
231201,12,1,1,0,10
231202,12,2,2,5102,1
231203,12,3,2,5201,3
231204,12,4,1,0,10
231205,12,5,2,5104,1
231206,12,6,2,5105,1
231207,12,7,2,5103,1
231208,12,8,1,0,10
231209,12,9,2,5102,1
231210,12,10,2,5201,3
231211,12,11,1,0,10
231212,12,12,2,5104,1
231213,12,13,2,5105,1
231214,12,14,2,5107,10
231215,12,15,1,0,10
231216,12,16,2,5104,1
231217,12,17,2,5105,1
231218,12,18,1,0,10
231219,12,19,2,5106,1
231220,12,20,2,5201,5
231221,12,21,2,5103,2
231222,12,22,1,0,10
231223,12,23,2,5102,1
231224,12,24,2,5201,5
231225,12,25,1,0,10
231226,12,26,2,5106,1
231227,12,27,2,5104,1
231228,12,28,2,5107,30
