Hero_Enforce_EffectID,SkillID1,SkillID2,Skill_Damage_Up,Attack_Up,Duration_Up,Projectile,CoolTime_Down,Attack_Speed,Enforce_Effect_DESCRIPTION,Enforce_Effect_DESCRIPTION
13358,21029,0,0,0,0,1,0,0,Enforce_Effect_DESCRIPTION_13358,분쇄 투사체 1개 증가
13359,0,21030,0,0,0,0,0.8,0,Enforce_Effect_DESCRIPTION_13359,분쇄격 쿨타임 20% 감소
13360,21029,21030,1.2,0,0,0,0,0,Enforce_Effect_DESCRIPTION_13360,스킬 데미지 20% 증가
13361,0,0,0,1.3,0,0,0,0,Enforce_Effect_DESCRIPTION_13361,공격력 30% 증가
13362,21031,0,0,0,0,1,0,0,Enforce_Effect_DESCRIPTION_13362,홀리 슬래시 투사체 1개 증가
13363,0,21032,0,0,0,1,0,0,Enforce_Effect_DESCRIPTION_13363,홀리 프레이어 슬래시 투사체 1개 증가
13364,21031,21032,0,0,0,0,0.8,0,Enforce_Effect_DESCRIPTION_13364,스킬 쿨타임 20% 감소
13365,0,0,0,1.3,0,0,0,0,Enforce_Effect_DESCRIPTION_13365,공격력 30% 증가
13366,21033,0,0,0,0,1,0,0,Enforce_Effect_DESCRIPTION_13366,쓰러스트 투사체 1개 증가
13367,0,21034,0,0,0,1,0,0,Enforce_Effect_DESCRIPTION_13367,피어싱 쓰러스트 투사체 1개 증가
13368,21033,21034,0,0,0,0,0.8,0,Enforce_Effect_DESCRIPTION_13368,스킬 쿨타임 20% 감소
13369,0,0,0,1.3,0,0,0,0,Enforce_Effect_DESCRIPTION_13369,공격력 30% 증가
13370,21035,0,0,0,0,1,0,0,Enforce_Effect_DESCRIPTION_13370,스위프트 엣지 투사체 1개 증가
13371,0,21036,0,0,0,1,0,0,Enforce_Effect_DESCRIPTION_13371,템페스트 랜드 투사체 1개 증가
13372,21035,21036,1.2,0,0,0,0,0,Enforce_Effect_DESCRIPTION_13372,스킬 데미지 20% 증가
13373,0,0,0,1.3,0,0,0,0,Enforce_Effect_DESCRIPTION_13373,공격력 30% 증가
13374,21037,0,0,0,0,0,0.8,0,Enforce_Effect_DESCRIPTION_13374,죽음의 연격 쿨타임 20% 감소
13375,0,21038,0,0,0,0,0.8,0,Enforce_Effect_DESCRIPTION_13375,환영난무 쿨타임 20% 감소
13376,21037,21038,1.2,0,0,0,0,0,Enforce_Effect_DESCRIPTION_13376,스킬 데미지 20% 증가
13377,0,0,0,1.3,0,0,0,0,Enforce_Effect_DESCRIPTION_13377,공격력 30% 증가
13378,21039,0,0,0,0,1,0,0,Enforce_Effect_DESCRIPTION_13378,홀리 엣지 투사체 1개 증가
13379,0,21040,0,0,0,1,0,0,Enforce_Effect_DESCRIPTION_13379,디바인 블레이드 투사체 1개 증가
13380,21039,21040,0,0,0,0,0.8,0,Enforce_Effect_DESCRIPTION_13380,스킬 쿨타임 20% 감소
13381,0,0,0,1.3,0,0,0,0,Enforce_Effect_DESCRIPTION_13381,공격력 30% 증가
13382,21041,0,0,0,0,1,0,0,Enforce_Effect_DESCRIPTION_13382,데스 엣지 투사체 1개 증가
13383,,21042,0,0,0,1,0,0,Enforce_Effect_DESCRIPTION_13383,다크니스 램페이지 투사체 1개 증가
13384,21041,21042,1.2,0,0,0,0,0,Enforce_Effect_DESCRIPTION_13384,스킬 데미지 20% 증가
13385,0,0,0,1.3,0,0,0,0,Enforce_Effect_DESCRIPTION_13385,공격력 30% 증가
13386,21043,0,0,0,0,1,0,0,Enforce_Effect_DESCRIPTION_13386,아이스 팽 슬래시 투사체 1개 증가
13387,0,21044,0,0,0,0,0.8,0,Enforce_Effect_DESCRIPTION_13387,앱솔루트 제로 엣지 쿨타임 20% 감소
13388,21043,21044,1.2,0,0,0,0,0,Enforce_Effect_DESCRIPTION_13388,스킬 데미지 20% 증가
13389,0,0,0,1.3,0,0,0,0,Enforce_Effect_DESCRIPTION_13389,공격력 30% 증가
13390,21045,0,0,0,0,1,0,0,Enforce_Effect_DESCRIPTION_13390,라인 드라이브 투사체 1개 증가
13391,0,21046,0,0,0,0,0.8,0,Enforce_Effect_DESCRIPTION_13391,랜스 다이브 쿨타임 20% 감소
13392,21045,21046,1.2,0,0,0,0,0,Enforce_Effect_DESCRIPTION_13392,스킬 데미지 20% 증가
13393,0,0,0,1.3,0,0,0,0,Enforce_Effect_DESCRIPTION_13393,공격력 30% 증가
13394,21047,0,0,0,0,0,0.8,0,Enforce_Effect_DESCRIPTION_13394,헤비 스플릿 쿨타임 20% 감소
13395,0,21048,0,0,0,0,0.8,0,Enforce_Effect_DESCRIPTION_13395,클리버 크래시 쿨타임 20% 감소
13396,21047,21048,1.2,0,0,0,0,0,Enforce_Effect_DESCRIPTION_13396,스킬 데미지 20% 증가
13397,0,0,0,1.3,0,0,0,0,Enforce_Effect_DESCRIPTION_13397,공격력 30% 증가
13398,21049,0,0,0,0,0,0.8,0,Enforce_Effect_DESCRIPTION_13398,레조 스매시 쿨타임 20% 감소
13399,,21050,0,0,0,0,0.8,0,Enforce_Effect_DESCRIPTION_13399,스플릿 엣지 쿨타임 20% 감소
133100,21049,21050,1.2,0,0,0,0,0,Enforce_Effect_DESCRIPTION_13400,스킬 데미지 20% 증가
133101,0,0,0,1.3,0,0,0,0,Enforce_Effect_DESCRIPTION_13401,공격력 30% 증가
133102,21051,0,0,0,0,1,0,0,Enforce_Effect_DESCRIPTION_13402,크로스 이클립스 투사체 1개 증가
133103,0,21052,0,0,0,1,0,0,Enforce_Effect_DESCRIPTION_13403,드래곤 포스 투사체 1개 증가
133104,21051,21052,1.2,0,0,0,0,0,Enforce_Effect_DESCRIPTION_13404,스킬 데미지 20% 증가
133105,0,0,0,1.3,0,0,0,0,Enforce_Effect_DESCRIPTION_13405,공격력 30% 증가
133106,21053,0,0,0,0,1,0,0,Enforce_Effect_DESCRIPTION_13406,리프 스플래시 투사체 1개 증가
133107,0,21054,0,0,0,0,0.8,0,Enforce_Effect_DESCRIPTION_13407,숲의 분노 쿨타임 20% 감소
133108,21053,21054,1.2,0,0,0,0,0,Enforce_Effect_DESCRIPTION_13408,스킬 데미지 20% 증가
133109,0,0,0,1.3,0,0,0,0,Enforce_Effect_DESCRIPTION_13409,공격력 30% 증가
133110,21055,0,0,0,0,0,0.8,0,Enforce_Effect_DESCRIPTION_13410,카르마 스파인 쿨타임 20% 감소
133111,0,21056,0,0,0,0,0.8,0,Enforce_Effect_DESCRIPTION_13411,홀리 브레이크 쿨타임 20% 감소
133112,21055,21056,1.2,0,0,0,0,0,Enforce_Effect_DESCRIPTION_13412,스킬 데미지 20% 증가
133113,0,0,0,1.3,0,0,0,0,Enforce_Effect_DESCRIPTION_13413,공격력 30% 증가
133114,21057,0,0,0,0,0,0.8,0,Enforce_Effect_DESCRIPTION_13414,대지 분쇄 쿨타임 20% 감소
133115,0,21058,0,0,0,1,0,0,Enforce_Effect_DESCRIPTION_13415,심검 소환 투사체 1개 증가
133116,21057,21058,1.2,0,0,0,0,0,Enforce_Effect_DESCRIPTION_13416,스킬 데미지 20% 증가
