StringID,"TutoText",,,ORDER 1,ORDER 2,ORDER 3,Voice
103120,"업적에서는 길드장 님이 달성한 도전을 확인할 수 있어요.",,완료한 퀘스트의 보상을 모두 받으면,31,20,10,Tut_20
103121,터치해서 보상을 받아 봐요.,,,31,21,10,Tut_21
103122,"이런, 또 몬스터가 몰려오고 있나 봐요.",,업적 창을 끄면,31,22,10,Tut_22
103123,원하는 모험가가 없나요? 배치했던 모험가를 판매하고 얻은 크레딧으로 선택지를 다시 뽑을 수 있어요.,,2 레벨 선택지가 뜬 직후,31,23,10,Tut_23
103124,모험가는 전투 중에 언제든 판매할 수 있어요. 팔고 싶은 모험가를 드래그하면 판매 아이콘이 뜰 거예요.,,,31,24,10,Tut_24
103125,이제 필요하지 않은 모험가를 하나 판매해 봐요.,,,31,25,10,Tut_25
103126,부족한 25 크레딧은 제가 드릴게요. 선택지를 다시 뽑아봐요.,25 크레딧,,31,26,10,Tut_26
103127,어떤 선택지도 고르지 않고 완료 버튼을 누르는 방법으로도 크레딧을 얻을 수 있어요.,,유닛 판매 후,31,27,10,Tut_27
103128,이번에도 타일을 다 채우는 데 생공했네요!,,스테이지 다 채워 컴플리트 버프를 받았을 때,31,28,10,Tut_28
103129,"두 번째 승리네요! 이제 슬슬 새로운 모험가를 모집해볼까요?",,2 스테이지 클리어 후 보상 창이 뜨면,31,29,10,Tut_29
103130,뽑기 탭에서 새로운 모험가를 모집할 수 있어요.,,로비로 이동하면,31,30,10,Tut_30
103131,이번 계약서는 제가 드릴게요. 1회 뽑기를 돌려봐요.,"일반 계약서 1, 뽑기 진행 시 레어 유닛 중 하나 랜덤 지급",뽑기 탭으로 이동하면,31,31,10,Tut_31
103132,"또 오셨네요, 길드장 님! 이번 전투부터는 타일이 조금 바뀌어요.",,3 스테이지 입장 직후 (1 레벨),31,32,10,Tut_32
103133,모험가를 배치해 색이 다른 타일을 채우면 버프를 얻을 수 있어요. 한 번 해볼까요?,,,31,33,10,Tut_33
103134,잘하셨어요! 남은 칸도 채워 보아요.,,"스테이지 버프 받았을 때 (가로, 세로 상관없이 처음 1회에)",31,34,10,Tut_34
103135,"길드장 님, 이번에는 특별한 선택지들이 나온다고 해요! 기대되지 않나요?",,4 스테이지 입장 직후 (1 레벨),31,35,10,Tut_35
103136,하나를 골라 선택해보세요. 전투에 도움이 될 거예요.,,3 레벨 선택지가 떴을 때,31,36,10,Tut_36
103137,"이제 모험가들의 힘을 강화할 수 있어요.",,5 스테이지 클리어 후 보상 창이 뜨면,31,37,10,Tut_37
103138,모험가 강화는 유닛 탭에서 할 수 있어요.,,로비로 이동하면,31,38,10,Tut_38
103139,여기서 모험가 편성과 강화를 할 수 있어요.,,,31,39,10,Tut_39
103140,"지금 길드장 님이 편성할 수 있는 유닛은 두 개 뿐이지만, 3개의 칸을 추가로 구매할 수 있어요.",,,31,40,10,Tut_40
103141,전투에서는 길드장 님이 편성한 유닛에 랜덤으로 편성된 유닛까지 총 10개의 유닛에서 랜덤으로 선택지가 제공돼요.,,,31,41,10,Tut_41
103142,그럼 이제 밀리아를 눌러 강화해 봐요.,,,31,42,10,Tut_42
103143,"강화석과 골드를 소모해 유닛을 강화할 수 있어요. 이번에 필요한 재화는 제가 드릴게요. 강화를 눌러 보세요.","강화석 3개, 500 골드",밀리아 상세 정보 UI가 뜨면,31,43,10,Tut_43
103144,모험가 조각으로 영웅 강화를 하면 단계에 따라 특별한 효과를 얻을 수 있어요.,,,31,44,10,Tut_44
103145,앞으로도 강화를 잘 활용하여 몬스터들을 막아주세요!,,밀리아 강화 후,31,45,10,Tut_45
103146,"길드장 님, 저 앞에서 더욱 강력한 힘을 가진 선택지가 느껴져요! 어서 몬스터를 무찌르고 가 봐요!",,6 스테이지 입장 직후 (1 레벨),31,46,10,Tut_46
103147,강력한 선택지가 나왔어요! 신중히 쓰는 게 좋을 거예요.,,플레이어 스킬 선택지가 떴을 때,31,47,10,Tut_47
