ID,String
930168,치명타 확률 증가 (3성)
930169,치명타 피해량 증가 (3성)
930170,획득 경험치 증가 (3성)
930171,초당 방벽 회복 (3성)
930172,보스 피해량 증가 (3성)
930173,빙결
930174,찬 서리의 기운으로 적의 움직임을 둔화시킨다.
930175,감전
930176,적에게 감전 피해를 준다.
930177,마비
930178,적을 마비시켜 행동하지 못하게 한다.
930179,화염
930180,화염 피해를 지속적으로 입는다.
930181,기절
930182,기절해 행동할 수 없다
930183,출혈
930184,상처로 인해 지속적인 피해를 입는다
930185,저주
930186,저주를 받아 적의 능력이 약화된다
930187,속박
930188,속박 당해 움직일 수 없다.
930189,중독
930190,독에 중독되어 지속적으로 피해를 받는다
930191,공포
930192,공포에 질려 움직임이 느려진다
930193,암흑
930194,시야를 잃어 움직일 수 없다
930195,섬광
930196,폭발적인 섬광이 시야를 마비시켜 움직일 수 없다.
930197,피해량 증가 (1성)
930198,유닛이 가하는 피해량이 20% 증가한다.
930199,치명타 확률 증가 (1성)
930200,유닛의 치명타 확률이 10% 증가한다.
930201,치명타 피해량 증가 (1성)
930202,유닛의 치명타 피해량이 30% 증가한다.
930203,획득 경험치 증가 (1성)
930204,플레이어가 획득하는 경험치가 25% 증가한다.
930205,초당 방벽 회복 (1성)
930206,방벽이 초당 0.5%만큼 내구도를 회복한다.
930207,보스 피해량 증가 (1성)
930208,보스에게 가하는 피해량이 25% 증가한다.
930209,피해량 증가 (2성)
930210,유닛이 가하는 피해량이 40% 증가한다.
930211,치명타 확률 증가 (2성)
930212,유닛의 치명타 확률이 25% 증가한다.
930213,치명타 피해량 증가 (2성)
930214,유닛의 치명타 피해량이 60% 증가한다.
930215,획득 경험치 증가 (2성)
930216,플레이어가 획득하는 경험치가 60% 증가한다.
930217,초당 방벽 회복 (2성)
930218,방벽이 초당 1.5%만큼 내구도를 회복한다.
930219,보스 피해량 증가 (2성)
930220,보스에게 가하는 피해량이 50% 증가한다.
930221,피해량 증가 (3성)
930222,유닛이 가하는 피해량이 75% 증가한다.
930223,치명타 확률 증가 (3성)
930224,유닛의 치명타 확률이 50% 증가한다.
930225,치명타 피해량 증가 (3성)
930226,유닛의 치명타 피해량이 100% 증가한다.
930227,획득 경험치 증가 (3성)
930228,플레이어가 획득하는 경험치가 100% 증가한다.
930229,초당 방벽 회복 (3성)
930230,방벽이 초당 3%만큼 내구도를 회복한다.
930231,보스 피해량 증가 (3성)
930232,보스에게 가하는 피해량이 80% 증가한다.
930233,지진 대미지
930234,맵에 존재하는 모든 몬스터에게 1000의 대미지를 가한다.
930235,지진 기절
930236,맵에 존재하는 모든 몬스터를 3초간 기절시킨다.
930237,이터널 블리자드 대미지
930238,맵에 존재하는 모든 몬스터에게 1300의 대미지를 가한다.
930239,이터널 블라자드 이동 속도 감소
930240,맵에 존재하는 모든 몬스터의 이동 속도를 8초간 25% 감소시킨다.
930241,블랙홀 흡인
930242,맵에 존재하는 모든 몬스터를 4초간 맵의 중앙 지점으로 빨아들인 뒤 고정시킨다.
930243,블랙홀 대미지
930244,맵의 중앙으로 빨아들인 몬스터에게 1300의 대미지를 가한다.
930245,에어 포스 대미지
930246,맵에 존재하는 모든 몬스터에게 1500의 대미지를 가한다.
930247,에어 포스 넉백
930248,맵에 존재하는 모든 몬스터를 밀쳐 5 유닛 타일만큼 위로 이동시킨다.
930249,혼돈의 파동 방어력 감소
930250,맵에 존재하는 모든 몬스터의 방어력을 8초간 20% 감소시킨다.
930251,혼돈의 파동 대미지
930252,맵에 존재하는 모든 몬스터에게 1200의 대미지를 가한다.
930253,발목 잡기 대미지
930254,맵에 존재하는 모든 몬스터에게 1500의 대미지를 가한다.
930255,발목 잡기 속박
930256,맵에 존재하는 모든 몬스터를 4.5초간 이동 불가시킨다.
930257,슈퍼 노바 대미지
930258,맵에 존재하는 모든 몬스터에게 5000의 대미지를 가한다.
930259,용기의 깃발 공격력 증가
930260,맵에 존재하는 모든 유닛의 공격력이 10초간 20% 증가한다.
930261,용기의 깃발 공격 속도 증가
930262,맵에 존재하는 모든 유닛의 공격 속도가 10초간 30% 증가한다.
930263,그레이트 슬로우 이동 속도 감소
930264,맵에 존재하는 모든 유닛의 이동 속도가 10초간 50% 감소한다.
930265,말랑이
930266,딱정벌레
930267,동굴박쥐
930268,밤톨거미
930269,민둥게
930270,홍소라게
930271,콩블린
930272,갈색놀
930273,모래벌레
930274,밤버섯
930275,흙오거
930276,분홍이
930277,진흙멍뭉이
930278,회색어인
930279,물렁이
930280,돌렘
930281,철딱정벌레
930282,사막박쥐
930283,초록줄거미
930284,빨간볏블린
930285,울퉁불퉁게
930286,청소라게
930287,회색놀
930288,풀벌레
930289,검정이
930290,늪오거
930291,빨간버섯
930292,돌멍뭉이
930293,늪지어인
930294,이끼렘
930295,독말랑
930296,뿔뿔이
930297,바다어인
930298,모라소라게
930299,청딱정벌레
930300,산호게
930301,그늘박쥐
930302,연두점버섯
930303,후드블린
930304,검사놀
930305,포자벌레
930306,바위발톱거미
930307,눈멍뭉이
930308,얼음뿔오거
930309,따끔말랑
930310,룬렘
930311,적딱정벌레
930312,빨갑벌레
930313,심해어인
930314,보라소라게
930315,혈박쥐
930316,보라수정게
930317,흉터블린
930318,애꾸놀
930319,황금점버섯
930320,형광점거미
930321,뿔뿔뿔이
930322,전사오거
930323,늪멍뭉이
930324,수정룬렘
930325,따끔물렁
930326,뽈뽈뽈이
930327,황금딱정벌레
930328,흰뿔버섯
930329,해초소라게
930330,어둠심해어인
930331,암흑박쥐
930332,철통블린
930333,돌가시벌레
930334,발광가시거미
930335,베테랑놀
930336,광전사오거
930337,찌릿멍뭉이
930338,얼음수정게
930339,얼음결정룬렘
930340,대왕말랑이
930341,대왕딱정벌레
930342,대왕동굴박쥐
930343,대왕밤톨거미
930344,대왕민둥게
930345,대왕홍소라게
930346,대왕콩블린
930347,대왕갈색놀
930348,대왕모래벌레
930349,대왕밤버섯
930350,대왕흙오거
930351,대왕분홍이
930352,대왕진흙멍뭉이
930353,대왕회색어인
930354,대왕물렁이
930355,대왕돌렘
930356,대왕철딱정벌레
930357,대왕사막박쥐
930358,대왕초록줄거미
930359,대왕빨간볏블린
930360,대왕울퉁불퉁게
930361,대왕청소라게
930362,대왕회색놀
930363,대왕풀벌레
930364,대왕검정이
930365,대왕늪오거
930366,대왕빨간버섯
930367,대왕돌멍뭉이
930368,대왕늪지어인
930369,대왕이끼렘
930370,대왕독말랑
930371,대왕뿔뿔이
930372,대왕바다어인
930373,대왕모라소라게
930374,대왕청딱정벌레
930375,대왕산호게
930376,대왕그늘박쥐
930377,대왕연두점버섯
930378,대왕후드블린
930379,대왕검사놀
930380,대왕포자벌레
930381,대왕바위발톱거미
930382,대왕눈멍뭉이
930383,대왕얼음뿔오거
930384,대왕따끔말랑
930385,대왕룬렘
930386,대왕적딱정벌레
930387,대왕빨갑벌레
930388,대왕심해어인
930389,대왕보라소라게
930390,대왕혈박쥐
930391,대왕보라수정게
930392,대왕흉터블린
930393,대왕애꾸놀
930394,대왕황금점버섯
930395,대왕형광점거미
930396,대왕뿔뿔뿔이
930397,대왕전사오거
930398,대왕늪멍뭉이
930399,대왕수정룬렘
930400,대왕따끔물렁
930401,대왕뽈뽈뽈이
930402,대왕황금딱정벌레
930403,대왕흰뿔버섯
930404,대왕해초소라게
930405,대왕어둠심해어인
930406,대왕암흑박쥐
930407,대왕철통블린
930408,대왕돌가시벌레
930409,대왕발광가시거미
930410,대왕베테랑놀
930411,대왕광전사오거
930412,대왕찌릿멍뭉이
930413,대왕얼음수정게
930414,대왕얼음결정룬렘
930415,황금고블린Lv.1
930416,황금고블린Lv.2
930417,황금고블린Lv.3
930418,황금고블린Lv.4
930419,황금고블린Lv.5
930420,황금고블린Lv.6
930421,황금고블린Lv.7
930422,황금고블린Lv.8
930423,황금고블린Lv.9
930424,황금고블린Lv.10
930425,황금고블린Lv.11
930426,황금고블린Lv.12
930427,황금고블린Lv.13
930428,황금고블린Lv.14
930429,황금고블린Lv.15
930430,황금고블린Lv.16
930431,황금고블린Lv.17
930432,황금고블린Lv.18
930433,황금고블린Lv.19
930434,황금고블린Lv.20
930435,강화석
930436,일반 강화에 쓰이는 재료.
930437,일반 주사위
930438,일반 뽑기의 재화.
930439,고급 주사위
930440,영웅 뽑기의 재화
930441,은 열쇠
930442,강화석 던전 입장에 필요한 열쇠.
930443,금 열쇠
930444,골드 던전 입장에 필요한 열쇠.
930445,붉은 열쇠
930446,주사위 던전 입장에 필요한 열쇠.
930447,다이아
930448,유료 재화
930449,밀리아 조각
930450,영웅 강화의 재료가 되는 유닛 조각.
930451,가렌트 조각
930452,영웅 강화의 재료가 되는 유닛 조각.
930453,리브 조각
930454,영웅 강화의 재료가 되는 유닛 조각.
930455,타론 조각
930456,영웅 강화의 재료가 되는 유닛 조각.
930457,엘렌 조각
930458,영웅 강화의 재료가 되는 유닛 조각.
930459,로웬 조각
930460,영웅 강화의 재료가 되는 유닛 조각.
930461,카일렌 조각
930462,영웅 강화의 재료가 되는 유닛 조각.
930463,라제르 조각
930464,영웅 강화의 재료가 되는 유닛 조각.
930465,루시안 조각
930466,영웅 강화의 재료가 되는 유닛 조각.
930467,모라 조각
930468,영웅 강화의 재료가 되는 유닛 조각.
930469,루미나 조각
930470,영웅 강화의 재료가 되는 유닛 조각.
930471,볼드 조각
930472,영웅 강화의 재료가 되는 유닛 조각.
930473,에리나 조각
930474,영웅 강화의 재료가 되는 유닛 조각.
930475,이리스 조각
930476,영웅 강화의 재료가 되는 유닛 조각.
930477,미라나 조각
930478,영웅 강화의 재료가 되는 유닛 조각.
930479,로안 조각
930480,영웅 강화의 재료가 되는 유닛 조각.
930481,칼렌 조각
930482,영웅 강화의 재료가 되는 유닛 조각.
930483,자르크 조각
930484,영웅 강화의 재료가 되는 유닛 조각.
930485,프리오 조각
930486,영웅 강화의 재료가 되는 유닛 조각.
930487,카르노 조각
930488,영웅 강화의 재료가 되는 유닛 조각.
930489,시온 조각
930490,영웅 강화의 재료가 되는 유닛 조각.
930491,아델 조각
930492,영웅 강화의 재료가 되는 유닛 조각.
930493,리델 조각
930494,영웅 강화의 재료가 되는 유닛 조각.
930495,바론 조각
930496,영웅 강화의 재료가 되는 유닛 조각.
930497,세리카 조각
930498,영웅 강화의 재료가 되는 유닛 조각.
930499,루시 조각
930500,영웅 강화의 재료가 되는 유닛 조각.
930501,아리온 조각
930502,영웅 강화의 재료가 되는 유닛 조각.
930503,케인 조각
930504,영웅 강화의 재료가 되는 유닛 조각.
930505,발렌 조각
930506,영웅 강화의 재료가 되는 유닛 조각.
930507,골드
930508,무료 재화
930509,열쇠 패키지
930510,던전 열쇠 패키지
930511,고급 패스권
930512,고급 패스 활성화 패키지
930513,광고 제거권
930514,광고 제거 패키지
930515,주사위 패키지
930516,뽑기 주사위 패키지
930517,다이아 월정액
930518,1일 1회 다이아를 수령할 수 있는 월정액
930519,맵1
930520,맵2
930521,맵3
930522,맵4
930523,맵5
930524,맵6
930525,맵7
930526,맵8
930527,맵9
930528,맵10
930529,맵11
930530,맵12
930531,맵13
930532,맵14
930533,맵15
930534,맵16
930535,맵17
930536,맵18
930537,맵19
930538,맵20
930539,맵21
930540,맵22
930541,맵23
930542,맵24
930543,맵25
930544,맵26
930545,강화석 던전
930546,골드 던전
930547,주사위 던전
930548,강화석
930549,일반 주사위
930550,고급 주사위
930551,은 열쇠
930552,금 열쇠
930553,붉은 열쇠
930554,다이아
930555,다이아
930556,다이아
930557,다이아
930558,다이아
930559,다이아
930560,골드 
930561,골드 
930562,골드 
930563,골드 
930564,골드 
930565,골드 
930566,에너지
930567,에너지
930568,에너지
930569,열쇠 패키지
930570,고급 패스
930571,광고 제거권
930572,주사위 패키지
930573,다이아 월정액
930574,열쇠 패키지
930575,고급 패스권
930576,광고 제거권
930577,주사위 패키지
930578,다이아 월정액
930579,첫 만남
930580,출석 1회 달성
930581,첫 출근
930582,튜토리얼 클리어
930583,방어선 사수
930584,1스테이지 클리어
930585,길드의 방패
930586,5스테이지 클리어
930587,길드 수호자
930588,10스테이지 클리어
930589,감정이 매말라
930590,몬스터 10000마리 처치
930591,눈물도 없는
930592,몬스터 100000마리 처치
930593,피도 눈물도 없는
930594,몬스터 1000000마리 처치
930595,단골 손님??
930596,30일 누적 접속
930597,약간 단골 손님
930598,100일 누적 접속
930599,진짜 단골 손님
930600,200일 누적 접속
930601,평생 함께
930602,365일 누적 접속
930603,완벽 방어
930604,방벽의 피가 닳지 않고 스테이지 클리어
930605,첫 덱 완성
930606,덱에 슬롯에 유닛을 전부 장착
930607,유닛 수집가
930608,서로 다른 유닛 10종 보유
930609,유닛 매니아
930610,서로 다른 유닛 20종 보유
930611,첫 합체
930612,같은 유닛을 합쳐 성급을 올린다
930613,합체 장인
930614,유닛 합성 50번 하기
930615,합체 공장장
930616,유닛 합성 100번 하기
930617,합체 그잡체
930618,유닛 합성 200번 하기
930619,별 하나 떠올랐다
930620,합성을 통해 ★2 유닛을 획득한다
930621,반짝반짝 별 3개
930622,합성을 통해 ★3 유닛을 획득한다
930623,첫 강화
930624,유닛 일반 강화 1회 성공
930625,강화 초보
930626,유닛 일반 강화 누적 10회 성공
930627,강화 베테랑
930628,유닛 일반 강화 누적 50회 성공
930629,강화 중독자
930630,유닛 일반 강화 누적 100회 성공
930631,강화 공장장
930632,유닛 일반 강화 누적 200회 성공
930633,끝을 봤다..
930634,일반 강화 만렙 찍기
930635,첫 별빛
930636,영웅 강화 1회 성공
930637,별빛이 여러개
930638,영웅 강화 10회 성공
930639,별빛 사냥꾼
930640,영웅 강화 30회 성공
930641,별빛 수집가
930642,영웅 강화 50회 성공
930643,별빛 그 자체
930644,영웅 강화 100회 성공
930645,별이 쏟아진다
930646,영웅 강화 만렙 찍기
930647,던전 입문
930648,세 종류 중 아무 던전 1회 클리어
930649,던전 탐험가
930650,던전 누적 10회 클리어
930651,던전 베테랑
930652,던전 누적 30회 클리어
930653,던전 전문가
930654,던전 누적 50회 클리어
930655,내 집 안방 던전
930656,던전 누적 100회 클리어
930657,내 꿈은 광부
930658,광석 던전 1회 클리어
930659,광부 전설이되다
930660,광석 던전 누적 50회 클리어
930661,광부 부자가 되다
930662,강화석 누적 10000개 획득
930663,신이 내린 광부
930664,대성공 누적 100회 발동
930665,첫 금맥
930666,골드 던전 1회 클리어
930667,금이 삐까뻔쩍
930668,골드 던전 누적 50회 클리어
930669,금맥 고갈 직전
930670,골드 누적 1000000골드 획득
930671,행운의 시작
930672,주사위 던전 1회 클리어
930673,계속 굴려!
930674,주사위 던전 누적 50회 클리어
930675,오늘 운이 좋은데?
930676,행운 확률 1회 발동
930677,첫 소환
930678,일반 뽑기 1회 진행
930679,고급 손맛
930680,고급 뽑기 1회 진행
930681,10연차 시작 일반
930682,일반 10회 뽑기 진행
930683,10연차 시작 고급
930684,고급 10회 뽑기 진행
930685,공짜가 조아
930686,무료 소환 누적 10회 사용
930687,희귀 수집가
930688,유니크 등급 유닛 1개 이상 획득
930689,전설 목격자
930690,레전드 등급 유닛 1개 이상 획득
930691,에픽의 주인
930692,에픽 등급 유닛 1개 이상 획득
930693,뽑기에 빠졌다
930694,누적 소환 1000회를 달성
930695,스테이지 클리어!
930696,스테이지 1회 클리어
930697,사냥 나가자!
930698,몬스터 처치 누적 1500마리
930699,대빵 사냥!
930700,보스 몬스터 2회 처치
930701,채광 드가자
930702,광석 던전 3회 클리어
930703,돈 주으러 가볼까?
930704,골드 던전 3회 클리어
930705,주사위 좀 굴리러 가볼까?
930706,주사위 던전 3회 클리어
930707,성장타임
930708,유닛 일반 강화 1회 성공
930709,스폐셜 성장
930710,영웅 강화 1회 성공
930711,새 친구 안녕
930712,일반 소환 2회 진행(무료뽑기도 포함)
930713,당신 내 친구가 되어주지 않을래?
930714,고급 소환 1회 진행
930715,오늘도 반가워
930716,일일 로그인
930717,S급 모험가
930718,스테이지 누적 18회 클리어
930719,깨끗한 세상을 만들자
930720,몬스터 누적 25000마리 처치
930721,보스학살자
930722,보스 몬스터 누적 36회 처치
930723,꼬질꼬질하네..
930724,광석 던전 누적 18회 클리어
930725,부자가 될거야!
930726,골드 던전 누적 18회 클리어
930727,111이 연속으로 나올 확률은?
930728,주사위 던전 누적 18회 클리어
930729,친구를 많이 뽑자
930730,일반 소환 누적 10회 뽑기
930731,캐리머신 나와줘!!
930732,고급 소환 누적 10회 뽑기
930733,우리 자주 보자
930734,로그인 누적 5회
