Hero_EnforceID,Hero_Enforce_LV,Hero_Enforce_EffectID,IngredientID,IngredientNum,Gold_Cost,Apply_Unit_ID_1,Apply_Unit_ID_2,Apply_Unit_ID_3
124944,4,13344,5218,20,80000,12131,12232,12333
121945,1,13345,5219,5,20000,12134,12235,12336
122946,2,13346,5219,10,40000,12134,12235,12336
123947,3,13347,5219,15,60000,12134,12235,12336
124948,4,13348,5219,20,80000,12134,12235,12336
1211049,1,13349,5220,5,20000,12137,12238,12339
1221150,2,13350,5220,10,40000,12137,12238,12339
1231251,3,13351,5220,15,60000,12137,12238,12339
1241352,4,13352,5220,20,80000,12137,12238,12339
1211453,1,13353,5221,5,20000,12140,12241,12342
1221554,2,13354,5221,10,40000,12140,12241,12342
1231655,3,13355,5221,15,60000,12140,12241,12342
1241756,4,13356,5221,20,80000,12140,12241,12342
1211857,1,13357,5222,5,20000,12143,12244,12345
1221958,2,13358,5222,10,40000,12143,12244,12345
1232059,3,13359,5222,15,60000,12143,12244,12345
1242160,4,13360,5222,20,80000,12143,12244,12345
1212261,1,13361,5223,5,20000,12146,12247,12348
1222362,2,13362,5223,10,40000,12146,12247,12348
1232463,3,13363,5223,15,60000,12146,12247,12348
1242564,4,13364,5223,20,80000,12146,12247,12348
1212665,1,13365,5224,5,20000,12149,12250,12351
1222766,2,13366,5224,10,40000,12149,12250,12351
1232867,3,13367,5224,15,60000,12149,12250,12351
1242968,4,13368,5224,20,80000,12149,12250,12351
1213069,1,13369,5225,5,20000,13152,13253,13354
1223170,2,13370,5225,10,40000,13152,13253,13354
1233271,3,13371,5225,15,60000,13152,13253,13354
1243372,4,13372,5225,20,80000,13152,13253,13354
1213473,1,13373,5226,5,20000,13155,13256,13357
1223574,2,13374,5226,10,40000,13155,13256,13357
1233675,3,13375,5226,15,60000,13155,13256,13357
1243776,4,13376,5226,20,80000,13155,13256,13357
1213877,1,13377,5227,5,20000,13158,13259,13360
1223978,2,13378,5227,10,40000,13158,13259,13360
1234079,3,13379,5227,15,60000,13158,13259,13360
1244180,4,13380,5227,20,80000,13158,13259,13360
1214281,1,13381,5228,5,20000,13161,13262,13363
1224382,2,13382,5228,10,40000,13161,13262,13363
1234483,3,13383,5228,15,60000,13161,13262,13363
1244584,4,13384,5228,20,80000,13161,13262,13363
1214685,1,13385,5229,5,20000,13164,13265,13366
1224786,2,13386,5229,10,40000,13164,13265,13366
1234887,3,13387,5229,15,60000,13164,13265,13366
1244988,4,13388,5229,20,80000,13164,13265,13366
1215089,1,13389,5230,5,20000,14167,14268,14369
1225190,2,13390,5230,10,40000,14167,14268,14369
1235291,3,13391,5230,15,60000,14167,14268,14369
1245392,4,13392,5230,20,80000,14167,14268,14369
1215493,1,13393,5231,5,20000,14170,14271,14372
1225594,2,13394,5231,10,40000,14170,14271,14372
1235695,3,13395,5231,15,60000,14170,14271,14372
1245796,4,13396,5231,20,80000,14170,14271,14372
1215897,1,13397,5232,5,20000,14173,14274,14375
1225998,2,13398,5232,10,40000,14173,14274,14375
1236099,3,13399,5232,15,60000,14173,14274,14375
12461100,4,133100,5232,20,80000,14173,14274,14375
12162101,1,133101,5233,5,20000,14176,14277,14378
12263102,2,133102,5233,10,40000,14176,14277,14378
12364103,3,133103,5233,15,60000,14176,14277,14378
12465104,4,133104,5233,20,80000,14176,14277,14378
12166105,1,133105,5234,5,20000,15179,15280,15381
12267106,2,133106,5234,10,40000,15179,15280,15381
12368107,3,133107,5234,15,60000,15179,15280,15381
12469108,4,133108,5234,20,80000,15179,15280,15381
12170109,1,133109,5235,5,20000,15182,15283,15384
12271110,2,133110,5235,10,40000,15182,15283,15384
12372111,3,133111,5235,15,60000,15182,15283,15384
12473112,4,133112,5235,20,80000,15182,15283,15384
12174113,1,133113,5236,5,20000,15185,15286,15387
12275114,2,133114,5236,10,40000,15185,15286,15387
12376115,3,133115,5236,15,60000,15185,15286,15387
12477116,4,133116,5236,20,80000,15185,15286,15387
